Name,Allocation
MMM,10
AOS,10
ABT,10
ABBV,10
ACN,10
ATVI,10
AYI,10
ADBE,10
AAP,10
AMD,10
AES,10
AMG,10
AFL,10
A,10
APD,10
ALK,10
AKAM,10
ALB,10
ARE,10
ALXN,10
ALGN,10
ALLE,10
AGN,10
ADS,10
LNT,10
ALL,10
GOOGL,10
GOOG,10
MO,10
AMZN,10
AEE,10
AAL,10
AEP,10
AXP,10
AIG,10
AMT,10
AWK,10
AMP,10
ABC,10
AME,10
AMGN,10
APH,10
ADI,10
ANSS,10
ANTM,10
AON,10
APA,10
AIV,10
AAPL,10
AMAT,10
APTV,10
ADM,10
ARNC,10
AJG,10
AIZ,10
T,10
ADSK,10
ADP,10
AZO,10
AVB,10
AVY,10
BLL,10
BAC,10
BAX,10
BDX,10
BBY,10
BIIB,10
BLK,10
HRB,10
BA,10
BKNG,10
BWA,10
BXP,10
BSX,10
BHF,10
BMY,10
AVGO,10
CHRW,10
CA,10
COG,10
CDNS,10
CPB,10
COF,10
CAH,10
KMX,10
CCL,10
CAT,10
CBOE,10
CBRE,10
CBS,10
CELG,10
CNC,10
CNP,10
CTL,10
CERN,10
CF,10
SCHW,10
CHTR,10
CVX,10
CMG,10
CB,10
CHD,10
CI,10
XEC,10
CINF,10
CTAS,10
CSCO,10
C,10
CFG,10
CTXS,10
CME,10
CMS,10
KO,10
CTSH,10
CL,10
CMCSA,10
CMA,10
CAG,10
CXO,10
COP,10
ED,10
STZ,10
GLW,10
COST,10
COTY,10
CCI,10
CSRA,10
CSX,10
CMI,10
CVS,10
DHI,10
DHR,10
DRI,10
DVA,10
DE,10
DAL,10
XRAY,10
DVN,10
DLR,10
DFS,10
DISCA,10
DISCK,10
DISH,10
DG,10
DLTR,10
D,10
DOV,10
DTE,10
DUK,10
DRE,10
DXC,10
ETFC,10
EMN,10
ETN,10
EBAY,10
ECL,10
EIX,10
EW,10
EA,10
EMR,10
ETR,10
EVHC,10
EOG,10
EQT,10
EFX,10
EQIX,10
EQR,10
ESS,10
EL,10
RE,10
ES,10
EXC,10
EXPE,10
EXPD,10
EXR,10
XOM,10
FFIV,10
FB,10
FAST,10
FRT,10
FDX,10
FIS,10
FITB,10
FE,10
FISV,10
FLIR,10
FLS,10
FLR,10
FMC,10
FL,10
F,10
FTV,10
FBHS,10
BEN,10
FCX,10
GPS,10
GRMN,10
IT,10
GD,10
GE,10
GIS,10
GM,10
GPC,10
GILD,10
GPN,10
GS,10
GT,10
GWW,10
HAL,10
HBI,10
HOG,10
HIG,10
HAS,10
HCA,10
HP,10
HSIC,10
HES,10
HPE,10
HLT,10
HOLX,10
HD,10
HON,10
HRL,10
HST,10
HPQ,10
HUM,10
HBAN,10
HII,10
IDXX,10
INFO,10
ITW,10
ILMN,10
INCY,10
IR,10
INTC,10
ICE,10
IBM,10
IP,10
IPG,10
IFF,10
INTU,10
ISRG,10
IVZ,10
IPGP,10
IQV,10
IRM,10
JBHT,10
JEC,10
SJM,10
JNJ,10
JCI,10
JPM,10
JNPR,10
KSU,10
K,10
KEY,10
KMB,10
KIM,10
KMI,10
KLAC,10
KSS,10
KHC,10
KR,10
LB,10
LH,10
LRCX,10
LEG,10
LEN,10
LLY,10
LNC,10
LKQ,10
LMT,10
L,10
LOW,10
LYB,10
MTB,10
MAC,10
M,10
MRO,10
MPC,10
MAR,10
MMC,10
MLM,10
MAS,10
MA,10
MAT,10
MKC,10
MCD,10
MCK,10
MDT,10
MRK,10
MET,10
MTD,10
MGM,10
MCHP,10
MU,10
MSFT,10
MAA,10
MHK,10
TAP,10
MDLZ,10
MNST,10
MCO,10
MS,10
MSI,10
MYL,10
NDAQ,10
NOV,10
NAVI,10
NKTR,10
NTAP,10
NFLX,10
NWL,10
NEM,10
NWSA,10
NWS,10
NEE,10
NLSN,10
NKE,10
NI,10
NBL,10
JWN,10
NSC,10
NTRS,10
NOC,10
NCLH,10
NRG,10
NUE,10
NVDA,10
ORLY,10
OXY,10
OMC,10
OKE,10
ORCL,10
PCAR,10
PKG,10
PH,10
PAYX,10
PYPL,10
PNR,10
PBCT,10
PEP,10
PKI,10
PRGO,10
PFE,10
PCG,10
PM,10
PSX,10
PNW,10
PXD,10
PNC,10
RL,10
PPG,10
PPL,10
PX,10
PFG,10
PG,10
PGR,10
PLD,10
PRU,10
PEG,10
PSA,10
PHM,10
PVH,10
QRVO,10
QCOM,10
PWR,10
DGX,10
RRC,10
RJF,10
RTN,10
O,10
REG,10
REGN,10
RF,10
RSG,10
RMD,10
RHI,10
ROK,10
COL,10
ROP,10
ROST,10
RCL,10
SPGI,10
CRM,10
SBAC,10
SCG,10
SLB,10
STX,10
SEE,10
SRE,10
SHW,10
SPG,10
SWKS,10
SLG,10
SNA,10
SO,10
LUV,10
SWK,10
SBUX,10
STT,10
SRCL,10
SYK,10
STI,10
SIVB,10
SYF,10
SNPS,10
SYY,10
TROW,10
TTWO,10
TPR,10
TGT,10
TEL,10
FTI,10
TXN,10
TXT,10
BK,10
CLX,10
COO,10
HSY,10
MOS,10
TRV,10
DIS,10
TMO,10
TIF,10
TWX,10
TJX,10
TSCO,10
TDG,10
TRIP,10
FOXA,10
FOX,10
TSN,10
USB,10
UDR,10
ULTA,10
UAA,10
UA,10
UNP,10
UAL,10
UNH,10
UPS,10
URI,10
UTX,10
UHS,10
UNM,10
VFC,10
VLO,10
VAR,10
VTR,10
VRSN,10
VRSK,10
VZ,10
VRTX,10
VIAB,10
V,10
VNO,10
VMC,10
WMT,10
WBA,10
WM,10
WAT,10
WEC,10
WFC,10
WELL,10
WDC,10
WU,10
WRK,10
WY,10
WHR,10
WMB,10
WLTW,10
WYNN,10
XEL,10
XRX,10
XLNX,10
XYL,10
YUM,10
ZBH,10
ZION,10
ZTS,10
